number,zip,"lat,long",city,pop
325,37074,"36.426436, -86.152749","Hartsville, Tennessee","6,297"
326,37397,"35.212948, -85.517337","Whitwell, Tennessee","9,690"
327,37375,"35.150642, -85.890914","Sewanee, Tennessee","3,701"
328,37333,"35.154599, -84.331684","Farner, Tennessee",704
329,38258,"36.032792, -88.619287","Trezevant, Tennessee","1,643"
330,38558,"36.054837, -84.922626","Crossville, Tennessee","9,608"
331,38330,"36.070503, -89.034414","Dyer, Tennessee","4,424"
332,38340,"35.401322, -88.683250","Henderson, Tennessee","11,752"
333,37308,"35.342635, -84.993756","Birchwood, Tennessee","2,406"
334,38063,"35.743099, -89.615785","Ripley, Tennessee","16,574"
335,38021,"35.877711, -89.172962","Crockett Mills, Tennessee",88
336,37313,"35.362568, -85.698606","Coalmont, Tennessee","1,435"
337,38225,"36.324019, -88.688992","Dresden, Tennessee","6,534"
338,37687,"36.179017, -82.092629","Roan Mountain, Tennessee","5,325"
339,37373,"35.399958, -85.110152","Sale Creek, Tennessee","2,658"
340,37012,"36.075985, -86.000420","Alexandria, Tennessee","2,009"
341,38235,"36.005743, -88.568793","Mc Lemoresville, Tennessee",227
342,38382,"35.968463, -88.984393","Trenton, Tennessee","9,866"
343,38469,"35.071484, -87.419694","Loretto, Tennessee","3,921"
344,38456,"35.338613, -87.265190","Ethridge, Tennessee","4,217"
345,37722,"35.814831, -83.202699","Cosby, Tennessee","5,201"
346,37352,"35.277520, -86.353027","Lynchburg, Tennessee","3,031"
347,37014,"35.863935, -86.651934","Arrington, Tennessee","1,588"
348,37846,"35.679307, -84.481891","Philadelphia, Tennessee","4,407"
349,37691,"36.371662, -81.756681","Trade, Tennessee",885
350,37322,"35.499366, -84.809587","Decatur, Tennessee","7,885"
351,37360,"35.437596, -86.254339","Normandy, Tennessee","1,642"
352,38012,"35.610362, -89.274004","Brownsville, Tennessee","15,134"
353,38583,"35.936185, -85.429518","Sparta, Tennessee","21,328"
354,37335,"35.068898, -86.403992","Flintville, Tennessee","2,667"
355,37190,"35.832371, -86.056687","Woodbury, Tennessee","7,963"
356,38059,"36.115718, -89.239733","Newbern, Tennessee","6,494"
357,38451,"35.460534, -86.992239","Culleoka, Tennessee","4,084"
358,37870,"36.470673, -83.840995","Speedwell, Tennessee","4,565"
359,37325,"35.251371, -84.591697","Delano, Tennessee","1,561"
360,38372,"35.165582, -88.149011","Savannah, Tennessee","17,184"
361,38310,"35.256558, -88.404209","Adamsville, Tennessee","5,508"
362,38366,"35.479000, -88.741273","Pinson, Tennessee","2,153"
363,38344,"35.978164, -88.424138","Huntingdon, Tennessee","9,176"
364,37340,"35.021988, -85.519895","Guild, Tennessee",764
365,37879,"36.499169, -83.451477","Tazewell, Tennessee","9,771"
366,37036,"36.238196, -87.278159","Charlotte, Tennessee","5,353"
367,37317,"35.016471, -84.425492","Copperhill, Tennessee","2,471"
368,37037,"35.703085, -86.351273","Christiana, Tennessee","4,191"
369,38260,"36.360777, -89.200363","Troy, Tennessee","3,776"
370,38326,"35.048371, -88.286046","Counce, Tennessee","2,451"
371,38547,"36.149648, -86.007626","Brush Creek, Tennessee","1,517"
372,37715,"36.576216, -83.962066","Clairfield, Tennessee","1,108"
373,37022,"36.512878, -86.316197","Bethpage, Tennessee","4,529"
374,38545,"36.231467, -85.661180","Bloomington Springs, Tennessee","1,315"
375,38075,"35.381986, -89.135495","Whiteville, Tennessee","6,734"
376,37309,"35.301912, -84.741487","Calhoun, Tennessee","2,152"
377,37061,"36.276541, -87.663027","Erin, Tennessee","4,744"
378,38229,"36.221508, -88.603480","Gleason, Tennessee","3,062"
379,38347,"35.464395, -88.497750","Jacks Creek, Tennessee",373
380,37841,"36.507620, -84.529158","Oneida, Tennessee","8,683"
381,37880,"35.686732, -84.661507","Ten Mile, Tennessee","3,218"
382,37085,"35.954543, -86.282994","Lascassas, Tennessee","2,782"
383,37810,"36.177664, -83.101960","Mohawk, Tennessee","1,806"
384,38256,"36.301175, -88.109894","Springville, Tennessee","3,135"
385,38369,"36.131924, -88.942668","Rutherford, Tennessee","1,967"
386,38006,"35.693693, -89.089516","Bells, Tennessee","5,020"
387,37140,"35.860974, -87.660782","Only, Tennessee","1,246"
388,37060,"35.745256, -86.637365","Eagleville, Tennessee","1,777"
389,38359,"35.363576, -88.359880","Milledgeville, Tennessee",257
390,37714,"36.284145, -84.264573","Caryville, Tennessee","4,262"
391,38220,"35.995939, -88.664609","Atwood, Tennessee","2,091"
392,38316,"36.069862, -88.816891","Bradford, Tennessee","2,922"
393,38255,"36.238355, -88.859211","Sharon, Tennessee","2,339"
394,38342,"36.071740, -88.288871","Hollow Rock, Tennessee","1,635"
395,37380,"35.070937, -85.754605","South Pittsburg, Tennessee","6,210"
396,38023,"35.474533, -89.964133","Drummonds, Tennessee","2,585"
397,38468,"35.123560, -87.286661","Leoma, Tennessee","4,525"
398,37059,"35.982789, -85.919165","Dowelltown, Tennessee","1,673"
399,37046,"35.770700, -86.729990","College Grove, Tennessee","3,074"
400,38462,"35.527425, -87.543752","Hohenwald, Tennessee","9,788"
401,37680,"36.584618, -81.757046","Laurel Bloomery, Tennessee",539
402,38552,"36.201821, -85.818053","Chestnut Mound, Tennessee",569
403,38549,"36.562131, -85.149087","Byrdstown, Tennessee","3,581"
404,38337,"35.791474, -89.018613","Gadsden, Tennessee","1,541"
405,38562,"36.352921, -85.633074","Gainesboro, Tennessee","6,275"
406,38483,"35.440767, -87.333653","Summertown, Tennessee","4,595"
407,37888,"36.312301, -83.597917","Washburn, Tennessee","2,563"
408,37178,"36.321820, -87.780974","Tennessee Ridge, Tennessee","1,927"
409,37327,"35.443552, -85.415350","Dunlap, Tennessee","8,928"
410,37713,"36.081454, -83.134295","Bybee, Tennessee","1,464"
411,38449,"35.040439, -86.818172","Ardmore, Tennessee","2,697"
412,38581,"35.741040, -85.620827","Rock Island, Tennessee","4,174"
413,37332,"35.600587, -84.949552","Evensville, Tennessee","2,339"
